lat,long,address,title,time,content
NaN,NaN,Not found,Par panel for insurance coverage to all properties in disaster-prone area,2019-02-13T22:14:03+05:30,"New Delhi, Feb 13 () A Parliamentary panel Tuesday suggested a comprehensiveinsurance coverage to all properties located in a disaster prone area andclaims be settled in a fast-track mode.The country has become all the more vulnerable in recent years to floods,droughts, cyclones, earthquakes, landslides, avalanches etc. due to factorssuch as climate change, deforestation, encroachments etc. our country's geo-climatic conditions as well as its high degree of socio-economic vulnerabilitymakes it one of the most disaster-prone countries in the world, the panelnoted in its report.Out of 36 States and Union Territories, 27 of them are disaster-prone, theStanding Committee on Finance said in its report presented in Parliament said.The panel headed by senior Congress leader Veerappa Moily studied the recentdevastating cyclone or floods or landslides in Odisha, Andhra Pradesh, TamilNadu, Karnataka and Kerala and the financial constraints faced by the affectedstates in meeting their relief, rehabilitation and reconstruction expenditure.The Committee believe that any investment on mitigation and prevention ofdisaster risk will go a long way in building the capacity for significantlyreducing expenditure on relief and disaster response.""Towards this end, the Committee desire that comprehensive insurance coverageshould be provided to all the properties (including public properties) locatedin the disaster prone area / zone and all insurance claims including cropinsurance should be settled in a fast-track mode,"" it said.In view of the diversity in geographical, social and economic factors acrossdifferent regions in the country, the report said, a flexible and pragmaticapproach should be adopted towards relief, rehabilitation and reconstruction.""Further, provision should be made for immediate/automatic release of advanceamount on adhoc basis from NDRF in cases of natural disasters of ""rareseverity"" so as to enable the affected states to take up immediate reliefwork, pending the visit of the central team and completion of otherprocedures. Safeguards may however be provided to ensure that the funds madeavailable are well utilised,"" it said. DPMR"
22.6759958,88.3297288,Kolkata,EM Bypass tops police list of most accident-prone roads,2018-12-12T13:29:41+05:30,"KOLKATA: Yet another fatal accident on EM Bypass on Monday — the fifth in thepast two weeks — has proved how certain roads have turned extremely dangerousfor motorists despite cops using state-of-theart technologies to try andprevent mishaps.    ![1](https://static.toiimg.com/img/67056816/Master.jpg)      In fact, EM Bypass tops the list of accident-prone stretches that KolkataPolice has prepared. While Diamond Harbour Road has come a close second, it isfollowed by Basanti Highway and Circular Garden Reach Road. The list also hassome new entrants like Strand Road and CIT Road, though the number ofaccidents on these roads has dropped when compared to 2017.      TimesViewSpeed kills. We have been told this so many times but refuse to learn. Everyavoidable death on the road is a tragedy and there have already been severalover the last couple of days. We hope that the city learns from theseaccidents so that the festive season, which is barely a fortnight away, isbetter.    The top-five roads on the list had contributed to half of all fatal accidentslast year. This year, the numbers are expected to be close to last year,claimed Lalbazar officers.    According to the Kolkata Police survey, 54 deaths have been reported on EMBypass between 2015 and 2017. This year, another 10 have died till Octoberthis year. “There are no demarcated crossovers even though there has been apopulation explosion on both sides of the speed corridor. Temporary guardwalls are often breached and illegal crossovers made. For example, when we putup guardrails in between Ruby crossing and Tagore Park, we found at leastthree breaches within a week. Similarly, there are issues regarding movementof cars due to the construction work going on,” said a source from the localtraffic guard.    Lalbazar sources, however, claimed that everything has been experimented withto control speed on the stretch. “A major change in street furniture — likesetting up of additional traffic signals — has brought down the number ofaccidents at Chingrighata. Now, instead of pedestrians, speeding and recklessdriving are leading to accidents,” said a senior officer from the planningdepartment.    “We hold naka checks each day and we are adding more speed guns and automaticnumber-plate recognition cameras to try and stop accidents like the one thattook place on Monday night,” claimed a Lalbazar officials. “There isn’t anyone reason behind the rise in the number of deaths on roads that were onceconsidered comparatively safe. Good road condition, a sudden urge to speed,inadequate lighting and the rise in the number of pedestrians on thecarriageways are all to blame,” said an officer from the fatal squad oftraffic police.    Besides EM Bypass and DH Road, the cops are also worried about Circular GardenReach Road and Strand Road. “We have intensified surveillance and enforcedprosecution against rash driving in these areas, besides placing Karma(Kolkata Accident Rescue and Medical Attention) ambulances at strategicpoints,” said a police officer.    The mapping has come as a first step to bring down the spate of accidents.“The mapping gives us clarity on how and where to carry out necessary steps.Thanks to CCTV surveillance, we are deducing patterns and reacting locally,”claimed an officer from a traffic guard in east Kolkata.    "
NaN,NaN,Not found,Accident Prone Area,2018-04-23T06:25:33+05:30,At Sion Bridge chembur end there are vehicles coming from Chunabhatti andentering the highway by taking a u turn. It is very risky and should bestopped as there are likely chances to have a accident. Same is the case onother side. Police should block both the entrances.
30.7350815,76.7635289,CHANDIGARH,"Fix accident-prone spots, UT engineering department told",2018-08-19T09:05:23+05:30,"CHANDIGARH: The traffic police have asked the UT engineering department tocomplete road works at the accident-prone points.  Police have identified a total of 15 accident-prone points across the city andhave asked the engineering wing of the administration to carry variousengineering works, which include slip roads, lighting, traffic light points,slow carriage way, fixing of rumble strips, directional arrows , widening ofroads, marking on roads, zebra crossing and pruning of trees.        ![1](https://static.toiimg.com/img/65457967/Master.jpg)    As per police records, the 15 accident-prone areas claimed 30 lives and left57 persons injured in 2017. In 2016, as many as 69 people were killed and 56injured at the dark spots in the city. Police are also pressing for timelycompletion of various pending road safety proposals, including installation ofstrong grilles on all dividers of V-1 and V-2 and V-3 roads of the city,installation of pedestrian pelican lights and proper maintenance of CCTVcameras at various locations.    There are over 100 cameras installed at over 20 junctions, of which a largenumber are not in a working condition. To make matter worse, footage of theones in working condition are of such poor quality that they are no good forinvestigation purposes. Not only that, due to limited storage capacity,footage is automatically deleted after nine days.    The issues will be taken up in the road safety committee meeting scheduled tobe held next week.    Police are also working on a mechanism which will automatically indicate thetraffic control room the location of non-functional automated traffic control(ATC) to mitigate traffic congestion in the city. Traffic police have alsoproposed to install blinkers on all four side of roundabouts, where ATCs havenot been installed.    Traffic police are also working on addressing traffic problem. Some of the keytraffic snarl points identified by police include Furniture Market roundabout,Chandigarh Housing Board light point, railway light point, Matka Chowk, Sector16 cricket stadium roundabout, Sector 17 ISBT roundabout, Kisan Bhawanroundabout, Attawa roundabout and poultry farm roundabout.    "
22.3238723,73.1898069,Fatehgunj flyover,Accident-prone Fatehgunj flyover turns into a headache,2019-03-03T12:56:54+05:30,"VADODARA: Once a toast to city’s traffic-harassed commuters, the one-kilometre-long Fatehgunj flyover has turned out to be a major hazard to theirlives of late. After its inauguration in 2015, Barodians have witnessedseveral fatal accidents taking place on it, while in the last two monthsalone, four persons have died in three major accidents here. These accidentshave now raised questions over the design of the city’s longest flyoverconstructed at the cost of Rs 62.98 crore.    “The flyover takes a sharp turn, a spot where a lot of accidents take place.This is a major design flaw in the flyover. The problem is that VadodaraMunicipal Corporation (VMC) never consults with the police before designingand constructing flyovers,” a senior police official said, lamenting that thepolice are always blamed first when accidents take place. “If we wereconsulted, we could have given key inputs to improve the flyovers’ design andtraffic engineering,” he added.    “We are in talks with the VMC to work out a solution to avoid accidents,” saidcity police commissioner, Anupam Singh Gahlaut, while talking to TOI.    In-charge VMC city engineer P M Patel, however, said that the flyovers areplanned only after detailed studies by competent agencies. “Rail IndiaTechnical and Economic Service (RITES) Ltd had conducted the first study. Amore recent study was done by the Central Road Research Institute (CRRI). BothRITES and CRRI are extremely competent agencies,” Patel argued.    Satyen Kulabkar, a traffic expert confirmed that the sharp turn on the flyoveris indeed a major design fault. “There is little coordination between VMC andthe police department while constructing such flyovers. Many other flyoversand bridges in the city too have faulty designs. Ironically, while the VMCdesigns and constructs the flyovers, it is the police that bears the brunt ofblames when such fatal accidents happen,” he said.    "
26.6282755,73.873897,Rajasthan,"2 killed, dozen injured as car collides with bus in Rajasthan",2019-01-07T15:50:27+05:30,"BIKANER: Two people died and a dozen others sustained injuries when a carcollided with a bus due to poor visibility caused by dense fog in Rajasthan'sBikaner, the police said Monday. The accident occurred on the Bikaner-Bajjustate highway in Srikolayat Police Station area, the police said, adding thatthe car collided head-on with the private.    Two occupants of the car died on the spot whereas twelve others sustainedminor injuries, they said.    The injured were taken to a government hospital in Bajju town, they said."
11.0117096,76.967235,COIMBATORE,Monsoon preparedness: 10 flood-prone areas identified,2018-07-21T13:12:06+05:30,"COIMBATORE: The district administration has identified 10 areas that are proneto flooding during this monsoon season.  Eight of them are in Mettupalayam – Chikkatasampalayam, Odanturai, Sirumugai,Jadayampalayam, Iluppanatham, Bellapalayam, Thekkampatti and Kemmarampalayamand two at Perur – Sundakamuthur and Sundapalayam.    All the 10 areas are low-vulnerable areas which, upon an unprecedentedrainfall, might flood up to two feet high, said an official involved in theprocess of identifying them. The areas are near water bodies, including lakes.    The administration has identified emergency shelters at the areas toaccommodate people in case of flooding. “Apart from including local residentsas the first respondents to alert officials during an emergency, inter-departmental zonal teams have been formed at these places. The teams consistof officials from local bodies, revenue department, agriculture department,police and fire department,” the official said.    “There are no high-vulnerable areas in the district,” the official said,adding that the areas were identified based on data available from previousyears.    In view of the Somanur Bus Stand roof collapse incident, the disastermanagement team has directed the public works department (PWD), chiefeducational officers (CEO), highways department and fire department to inspectall the government buildings in the district to prevent such incidents, theofficial said.    “Also, wind velocity and the frequency of lightning is higher than theprevious years. A woman from Madukarai was recently killed by lightning. Wehave been creating awareness among the public about the dos and don’ts whilethere is lightning and are in the process of identifying the areas prone tolightning,” he told TOI.    Wind velocity will continue to increase till September, but the increase invelocity will not be a continuous phenomenon, said S Panneerselvam, head ofthe Agro Climate Research Centre of the Tamil Nadu Agriculture University(TNAU). The department has predicted wind velocity to be 14 to 18kilometre/hour. The average increase in velocity could be upto 20 to 22kilometre/hour. The university had issued instructions to public on ways tosafeguard themselves, crops and livestock, he added.    "
23.6284833,77.432692,Berasia,MP: One dies as dumper rams into school van in Berasia,2019-01-11T14:20:36+05:30,"BHOPAL: A minor girl died while eight students were severely injured as aspeeding dumper rammed into a school van on Berasia-Narsinghgarh Road inBerasia locality on Friday morning. The errant dumper driver tried to run awaywith vehicle, but Berasia police chased and nabbed him. Meanwhile, enragedlocals vandalized the dumper.    SHO Berasia SN Pandey said that the school van (Tata Magic vehicle) was takingstudents from Sarkhandi village in Berasia to Success Convent School Berasia.Around 8.30am when it reached Baya River bridge on Berasia- Narsinghgarh Road,a speeding dumper coming from the opposite side rammed into it.    SHO Pandey said that an 11-year-old girl Shanu, a resident of Sarkhandivillage, died while eight others were injured in the incident. He said thatthe dumper driver fled the spot and police along with locals chased and nabbedthe dumper. The injured children were rushed to hospital for treatment.Further investigations were on.  "
30.1794103,78.1226205,"Doiwala area, Dehradun","Two killed, four injured in separate accidents",2018-12-11T13:07:52+05:30,"DEHRADUN: Two persons were killed and four others seriously injured inseparate accidents on Monday in Dehradun.    The first accident took place in Doiwala area where a 20-year-old man diedafter the scooter he was riding hit a dumper truck near head-on near Premnagarrailway gate. The victim has been identified as Prince Kaushal, who worked asan electrician.    One of the witnesses claimed that the accident took place due to the rashdriving by the dumper truck driver. Police said they are searching for theabsconding driver. “We are checking the CCTV footage to trace the culprit andhope we will nab him soon,” said a police official.    In another accident a 37-year-old man died and four others seriously injuredafter their cars collided into each other on Chakrata Road in the interveningnight of Sunday and Monday. The deceased was a resident of Herbertpur.    According to police, Wajid, the driver, died on the spot, while Riyazul,Mursleen, Muntaaz Mustak and Mayank, driver of another car, sustained injuriesand currently recovering in a nearby hospital.    “Prima facie, it appears that both the vehicles were speeding, and the boththe drivers lost control and as a result collided into each other,” saidNaresh Rathore, in charge of Sahaspur police station.    "
19.0822507,72.8811862,MUMBAI,839 manholes covered with protective iron mesh: BMC to HC,2018-08-27T19:41:29+05:30,"MUMBAI: The Brihanmumbai Municipal Corporation (BMC) told the Bombay highcourt on Monday that it has completed the work of installing protective ironmeshes over manholes in flood-prone areas of the city.    The civic body, in an affidavit submitted to a division bench headed byJustice R M Savant, said 839 manholes, that were identified in the city'sflood-prone areas, have been covered.    Stating that there had been progress, the high court told the BMC to ensurewarning signs were put up near manholes opened for any kind of work.    ""Some red flags or a warning post should be placed near an open manhole. Thecorporation should also ensure all manholes are maintained and repaired duringthe pre-monsoon season,"" Justice Savant said.    The high court said the corporation should also create public awareness sothat people do not open manholes on their own.    The court was hearing a PIL filed by the Federation of Retail Traders WelfareAssociation after the death of a city-based doctor last year.    Dr Deepak Amrapurkar, a gastroenterologist at the Bombay Hospital, had died inAugust last year after he fell into an open manhole. The cover of the manholehad been illegally removed by some locals to allow rainwater accumulated onthe road drain out.  "
29.4751257,77.7088578,MUZAFFARNAGAR ,16 women injured in road accident in Muzaffarnagar,2018-11-17T11:41:58+05:30,"MUZAFFARNAGAR: At least 16 women, who were returning home after attending afunction in Jaroda village, were injured when their tractor trolly overturnedon NH 28 in Chappar police station area on late on Thursday evening, saidpolice.    Deputy superintendent of police of Sadar, Rizwan Ahmed, said, “The womensustained minor injuries. After getting primary medical care, the womenreturned to their respective homes. No complaint has been registered into thematter.”    Sources said that as many as 25 people were sitting on the tractor trolly.After attending death ritual ceremony, they were en route to their villageHarinagar in Purkazi area. But due to the driver's negligence, the vehicleoverturned after hitting the divider on NH58. After police got informationabout the incident on dial 100, the police rushed to the spot and took all theinjured women to the district hospital.    Similarly, in September, at least 17 people got injured after a bus, carryingHaridwar bound 55 devotees from Delhi, turned turtle on NH-58 inMuzaffarnagar’s Purkazi.    "
10.2981915,76.3813363,"Meloor, kerala",Meloor Panchayat To Formulate Flood Preparedness Plan; Marks Flood-Prone Areas Using GPS,2018-09-11T07:27:58+05:30,"KOCHI: Meloor grama panchayat near Koratty is launching a project to formulatea flood preparedness plan, which they call a first-of-its-kind initiative inthe state. It involves marking all flood-prone areas in the local body usingGPS facility.    The panchayat will launch an emergency rescue force with volunteers equippedwith rescue apparatus such as boats and life jackets. This will help themengage in rescue activities in case of another flood or disaster in thefuture.    The first phase of the project, which is marking the flood-prone areas, hasalready been completed. “Meloor is an agrarian village with the Chalakkudyriver flowing along its northern, western and southern borders. The tinyvillage shares an almost 17-km border with the river. Though chances of floodare high, we didn’t expect such a deluge. Of the seventeen wards, sixteen wereaffected in the recent deluge,” said panchayat president P P Babu.    “We also plan to make changes in the crop cultivation. Crops which withstandfloods will be cultivated in areas that are prone to inundation. We will alsohave to identify safe zones to rehabilitate residents in case of anemergency,” Babu said.    SCMS Water Institute, Karukutty, will conduct a field study as part of theproject. “MTech environmental engineering students of our college, guided bythe faculty, will conduct the study prior to formulating the floodpreparedness plan. We will prepare a comprehensive plan after compiling andanalysing the data collected,” said SCMS Water Institute 4 director SunnyGeorge.    “We expect that it will be a model for the entire state. Rainfall data will beprocured from India Meteorological Department and features of agriculture andcultivation in the area will be collected from agricultural research station,Chalakudy. River flow data and topological maps will be procured from theCentral Water Commission and Survey of India, respectively. Satellite datawill be collected from Indian Space Research Organisation (Isro) and reservoirlevel and shutter opening data would also be collected,” said George.    Detailed data collection would be carried out in the affected wards using asmartphone appbased questionnaire. Flood water level, spatial extent, durationof inundation and level of water will be documented using open data kit (ODK).Soil and well water samples will also be collected and analysed.    Using the GIS, various zones based on flood levels will be prepared. Optimumevacuation routes and appropriate locations for relief camps will also beprepared.    “We will analyse the direction of flood water flow and isolated areas. Thiswill help us prepare safe evacuation routes and relief camps,” Babu said.Communication system for giving early warning to residents will also bedeveloped. Agricultural risk map would be prepared for rearranging the croppattern in various parts of the village. The total cost of the project,including procuring equipment for emergency rescue force, is Rs 25 lakh and itwill be borne by the panchayat.    "
NaN,NaN,Not found,Efforts on to generate map of landslide-prone areas,2018-09-20T10:31:09+05:30,"THRISSUR: Efforts are on to generate a map of landslide-prone areas of thedistrict with the help of experts.    District collector T V Anupama said the experts of Geological Survey of India(GSI) are already working on such a project across the state. The map wasexpected to contain micro-level data which can be used in the district-levellandslide-mitigation efforts, she said.    A four-member team of experts had visited several landslide-affected areas inthe district. They had submitted a report to the government on theprecautionary measures to be taken to reduce casualties in such accidents.    The team comprised of soil scientists' S Sandeep and M P Sujatha from theKerala Forest Research Institute (KFRI) in Thrissur; geologist G Sankar fromthe Centre for Earth Sciences (CESS), Thiruvananthapuram; and S Sreekumar,director of the Integrated Rural Technology Centre (IRTC) in Palakkad    The district authorities have also decided to launch awareness campaigns toensure that debris in the landslip-affected areas were not immediatelyremoved, unless those areas have been found to be safe.    The collector said that 11 people have approached the district administrationfor getting sanction to remove the debris of their partially-collapsed housesand six of them have been given sanction after those areas have been foundsafe.    The experts have identified 15 locations, which are 'unstable problem areas'in terms of landslip possibilities.    Geologist in the mining and geology department in the district has alsoidentified another 25 locations where the land is not found fully stable,though not as grave as the other 15 locations.    She said that the safety of some areas, which have experienced landslides,could be assessed only after one more bout of rains, while in some otherareas, they have suggested a second visit, the collector said. The collectorsaid a team of experts from CESS would be visiting four panchayats in thedistrict on September 24, 25 and 26 to assess the cause of landslides andtheir impact. The team would also be recommending measures to reduce thechances of landslides.    "
26.68875,70.16089,"Dhanana, Jaisalmer ",5 injured in Sam area in separate accidents,2019-01-08T00:37:00+05:30,"Jaisalmer: A man who was poaching migratory birds in Sam area in Jaisalmer wasinjured when the barrel of his 12-bore rifle exploded. The pellets hit him,and he has been seriously injured. He was referred to Jodhpur where hiscondition is said to be stable. Meanwhile, two vehicles with tourists in Samarea collided with each other in which four persons were injured includingthree tourists. The injured were brought to Jaisalmer government hospital.  Sam SHO Karan Singh said that in Dhanana area under Sam police station, DilbarKhan, resident of Manuvo Ki Basti was firing at wildlife when the barrel ofhis gun exploded, and pellets hit him in which he was seriously injured. Afterfirst-aid he was referred to Jodhpur. The cop said that Khan in his statementsaid he was firing to scare away nilgai, when the barrel of his gun exploded.The police said that he was likely poaching some wildlife or migratory birdbecause earlier too there were complaints of poaching against him. Police areintensively probing the case and will act after the investigation is complete.    "
NaN,NaN,Not found,Leopard killed in accident on Gurugram-Faridabad road,2019-01-30T15:23:09+05:30,"GURUGRAM: A 10-month-old female leopard was found dead on the Gurugram-Faridabad road near Pali area on Saturday night. The incident came to light onTuesday when the forest department filed a report in the matter.    The autopsy confirmed that the big cat died after being hit by a heavyvehicle. ""The big cat was hit very badly by the vehicle. Some of the organs ofthe leopard were crushed. The big cat must have died on the spot,"" saidsources in the forest department.    ""The cops lifted the body from the spot and we were informed. It has beenconfirmed that the leopard died in a road accident,"" said Vinod Kumar,additional principal chief conservator of forests, Haryana.    This is not the first time that a leopard has been killed on Gurugram-Faridabad road. A leopard died at the same spot (Pali Chowk) in May 2015.  "
